tweet_id	tweet_text
26	Reporting from the top of the Palisades. MASSIVE fires are still roaring as wind speeds are now picking up. Much of the Palisades are completely wiped out. It looks like a war zone. The Kenneth fire looks to be gaining a lot in size as the night comes.
27	Fires???? There will be investigations, let us put them out before calling for them. What kind of people are we, if we focus on investigations, and not lives & homes lost. BTW, they are still holding him.
28	California
29	Wildflowers, winding trails and wide-open views—Berryessa Snow Mountain National Monument is a landscape that invites you to explore. Rolling oak woodlands, rugged canyons and sweeping mountain ridges set the stage, and in spring, golden California poppies blanket the hillsides.
30	" KAREN BASS' TEAM going straight to race/class-based politics after recall announced, calling @NicoleShanahan a ""right-wing oligarch"" who's part of a team of ""billionaires who bought the presidency"" and claiming that the same outrage isn't being directed at LA County Supervisor"
31	A flash mob to Doechii’s song, “Anxiety” occurred in Los Angeles.
32	This September marks 175 years of California dreaming.  Throughout history, California has come together to learn from the challenges we've faced to create a stronger, more vibrant future.  It cannot be denied: the future happens here, first — together.
34	Traffic Alert in Orange Accident on SR-55 South near SR-22, the HOV and #1 lanes are blocked.
36	Wisdom is abrasive to hardheads.  I sought wisdom from a business leader and didn’t like what I heard. I asked the same question the next day to another leader, and he told me the same thing!  Ignorance dies slowly.  Do 5 these things to gain wisdom…
38	" Elon Musk just said California Governor Gavin Newsom is committing ""TREASON"". Gavin Newsom continues to spend BILLIONS of taxpayer money on illegal migrant healthcare. Newsom is corrupt and paid off, how do you know? Because his donors literally buy him"
39	This is huge  DOJ is actively investigating CO SoS Jena Griswold and her co-conspirators for what they did to unjustly imprison Gold Star Mom Tina Peters and leak voting machine passwords in the 2024 election  I told you Jena - we won’t rest until you’re held accountable 
40	Sequoia National Park in California 
41	Thursday, January 23, 2025, 9:00 AM PDT: This retrograding very large 546 DM low axis in the last 32 hours has had the consistency of intensification in all solutions runs. There’s been no let-up in sight. Important due to the ongoing fires in Southern California and such fresh
42	El incendio en El Bolsón se Descontroló en las últimas horas debido a las fuertes ráfagas de viento que alcanzaron hasta 60 km/h. 
43	5:59 PM: Crews have been dispatched and are determining the cause and repair time for the outage reported in La Loche. #skoutage
44	"Cal Fire just added 6 million acres of California to fire hazard zones. Do you live in one of those zones, and if so, what do the designations mean for your home? Great explainer from 
@nohaggerty
, 
@seangreene89
 & 
@sandhya__k
:"
46	We live in the 5th largest economy in the world, but we will have to wait for rain this weekend to put out the 17 day long Palisades Fire.  LA beaches already have high levels of bacteria (feces) in the water, but the charred toxins will flow directly into the Pacific Ocean.
48	 NBA 28/2/2025 (Semana 18) * DIRECTAS: WARRIORS -4.5  NUGGETS -3.5  WOLVES +5.5 * PARLEY: (+375) PELICANS VS SUNS  OVER 236 MAVS ML SUNS ML WARRIORS -2
51	Happy birthday to our 2025 Indycar champion 
53	 Devastating Forest Fire Spreads in Andong, Gyeongbuk, South Korea. March 25, 2025  A forest fire that started in Uiseong has spread to Andong, with widespread damage reported in a mountain near Namseon-myeon.
54	I know people seemed shocked by the wildfires near Myrtle Beach. The thing is, in the area between Conway and Myrtle Beach is a notorious wildfire area. 3 of South Carolina's largest wildfires have all occurred in this general area. April 1976, the Clear Pond Fire in Horry
55	Crypto infrastructure builder Consensys said the SEC has agreed in principle that the securities enforcement case concerning its MetaMask business should be dismissed
57	Strike Force Kindra pursued a small drug deal in a NSW country pub to a drug cartel, that led all the way to China.
60	Navy women’s basketball loses to Army, 68-64, as late shot falls short
62	Starting Friday, parking meter rates in San Diego are going up. The City Council voted to double rates, and now most meters will cost $2.50 an hour, well below other large California cities. Revenues will help fix roads, sidewalks and streetlights:
63	#CandySpelling's not sure if she's going to rebuild after the #PacificPalisades wildfire destroyed her home ... but, no matter what she chooses, she's got a friend with a head for real estate who can help out -- #MillionDollarListing star #JoshFlagg! https://tmz.com/2025/01/22/candy-spelling-unsure-on-rebuilding-after-palisades-fire/
65	How are you ?
67	FIRE BELOW GRIFFITH OBSERVATORY, ARSON SUSPECT IN CUSTODY  A brush fire scorched a quarter-acre near Griffith Observatory this afternoon.  Firefighters crushed it in 31 minutes, leaving no damage behind, but police didn’t have to look far to find the suspect — they arrested 
69	"The Army Corps of Engineers won't order soil testing at properties destroyed in the Eaton and Palisades fires, breaking with a long-standing safeguard to ensure no lingering contamination is left behind after the wildfires, 
@_TonyBriscoe
 reports:"
70	A Rundown-  Burn Patterns:   Ground samples from Westhampton (collected by independent firefighter John M. Russo, ID-****) show micro-spherules of fused silica, indicative of extreme, instantaneous heat not typical of brush fires.  EM Spikes:   Unreported NOAA data from
71	 And in 3, 2, 1… the after effects of the Newsom Fires have already started with a house that survived the flames in the Palisades splitting in half from a landslide.   Most insurance companies EXCLUDE land movement from coverage (dead serious)! Oops!   Now wait til it
72	HAPPENING NOW: Protestors are marching against ICE in California:  Do these people work?
74	Hippie culture srvives #wildfire, just as it survived mudslides, earthquakes+rockfalls. #TopangaCanyon mostly spared but it lost landmarks. Where #NeilYoung wrote After the Gold Rush+where Linda went after she quit Stone Ponies. #LA #Palisades #realestate
75	A key federal agency overseeing 15 million acres of public lands in California has halted some critical fire prevention work because of the massive freeze in government funding directed by Donald Trump.
76	"The road to recovery for those affected by the #LAWildfires is a marathon, not a sprint. We’ll be there with them every step of the way.

#TzuChiUSA"
77	Native American cultural burning is a powerful tradition that supports wildfire prevention, ecosystem health, & tribal sovereignty. Thanks to #SB310, tribes can reclaim this practice through government-to-government partnerships.
78	Anthony Edwards on being the face of the NBA someday:  “Well, I’m capable of being that guy. But I don’t want to be that guy, put it like that. I want to be the guy to just show up and hoop and just kill dudes and go home.”
80	Night and day difference from the last four years.  @POTUS  will build 85 miles of wall this year with hundreds more coming. This is why I introduced the WALL Act to help President Trump finish the job. We won't stop until there’s full operational control.
82	D-280 until Minhyun gets discharged  : 20. December 2025  : red  #Minhyun #HWANGMINHYUN #Hwangdo   Follow & turn on the  to not miss any daily countdown :)
83	If you were me or in my position, would you discard this, or you would use the remaining few drops to cook ?  Remember the state of the economy in Kenya   Semeni tujue la kufanya...   Blessed Sunday KPLC Matiangi
84	"“In LA communities like Malibu, Pacific Palisades and Bel Air that have been repeatedly menaced by wildfire, low connectivity is also to some degree a design choice made to maintain exclusivity.”
 https://bloomberg.com/news/articles/2025-01-16/la-fire-how-sprawl-complicates-wildfire-evacuation?utm_source=website&utm_medium=share&utm_campaign=twitter via 
@citylab"
85	…as much as they envy us, they could never make me hate you, California
86	Texas: The Crabapple Fire ripped 8,640 acres yesterday outside of Fredericksburg yesterday. Crews continue to build fireline and a no-drone notice went up last night over the wildfire along with a TFR.   Thanks to the subscriber who shared this footage, there were over 11 fires
88	Littleton's Reagey brothers live dream of playing together March 30, 2025 at 07:50PM  Source:  WMUR-TV
89	BREAKING: Newsom is stepping up.  While Trump’s actions threaten to sabotage the nation, California is refusing to sit back. They’re taking matters into their own hands to protect their economy, their people, and their future.   TRUE LEADERSHIP!
90	YOUR 2025  @NaismithTrophy  WINNER IS COOPER FLAGG 
92	 US: Mandatory evacuations were ordered in Greenville and Pickens counties, South Carolina, as two wildfires burned. Despite progress, strong winds worsened fire activity. The Table Rock Fire burned 2,293 acres, and the Persimmon Ridge Fire burned 996 acres, both at 0%
93	navigating the trenches of california   do not allow gavin newsom to become president
94	President Donald Trump has found some surprising allies as he works to enact his anti-immigrant, anti-trans agenda: California Democrats who represent swing districts.
95	Splitgate 2 Brings High-Octane Portal Action Back With ‘Splitball’ Mode  https://fixyanet.com/2025/02/splitgate-2-brings-high-octane-portal.html…  #Splitgate2 #Splitball #PortalAction #GamingCommunity #MultiplayerFun #Esports #GameOn #ActionPacked #VideoGames #GamerLife
96	This guy is too good to be working in a kiosk in Ghana… He needs to work for Apple in California 
98	"California Assembly Speaker Robert Rivas (D-Salinas): ""there are currently more kids with measles in Texas than there are transgender athletes in the NCAA. That's the epidemic we should all be worried about."""
99	WELCOME HOME, JAYDEN   #TheRavenWay #AddToTheLegacy
100	Housing market market cap has just surpassed that of the S&P   Real estate is the undisputed king of asset classes. In 2025, it's estimated to be worth a staggering $450 trillion (J.P. Morgan), dwarfing the combined value of stocks and bonds.
101	"Per LAFD on X: ""The LAFD is NOT requesting assistance from the public. The message was misconstrued. We are running a recall for our OWN LAFD members ONLY. """
102	I fully agree. The Leadership Council  @latimes  has now begun and will convene the private sector expertise to begin the rebuild. Beginning with safe and timely clearing of the sites. Expertise has now been gathered and the LAT will provide weekly updates and a dedicated page and
103	Bankruptcy judge rules trustee may pursue real estate assets, while National Labor Relations Board seeks to tie Wendy McCaw personally to transfer of company assets.
105	"Meanwhile in LA

#KamalaHarris is asked for her thoughts on the #LAWildFires so she runs through the human senses and talks about how it all smells and makes her feel.

What would #LosAngeles do without #Kamala's profound insights and #wordsalad?

I'm glad #Mamala lost the"
106	Fire out this way has been mostly contained, official numbers are 8,640 acres with 40% containment.  Forward progress appears to have been stopped and the wind has subsided. All good news.  #CrabappleFire
108	 LA MAYOR UNDER FIRE AS HER FAMILY LOSES HOME TO BLAZE  Karen Bass’ brother’s home was destroyed in the Palisades Fire, a disaster worsened by her own budget cuts that crippled fire department response.  Bass, who was in Ghana as the fires started, now faces intense backlash
109	Wildfire burns in Helene-ravaged towns -  @chelseatorrestv  on  @foxweather  from Old Fort, North Carolina
111	#CAFires2025 Incident Cooperator Updates Published Saturday, January 18, 2025 WASHINGTON Bainbridge Island FD Photo Credit: BIFD 1/16/2025: The BIFD firefighters were assigned to the Palisades Fire located in the Pacific Palisades, CA area. They were assigned to patrol around h…
113	My boy Marty McFly
116	Gavin Newsom just signed his 18th Executive Order to cut red tape and expedite the rebuilding for wildfire victims…  In reality only FOUR permits to rebuild in the Palisades have been approved.
117	DIRECTED ENERGY WEAPONS (DEWs)  While typical civilian access to DEW technology is hyper limited, AI gives more insight into the reality of Directed Energy Weapons as used in combat. However, this is not a very comprehensive snapshot of what DEW munitions really are. First, they
118	Low float biotech stocks like $APDN don’t care about tariffs lol.  We care that the stock has 1m shares and $9m in cash with a current evaluation of $2m.  Oh, and they were 34% more profitable already in Q1 2025 YOY.
119	"“Nuisance."" That's what Mayor Bass is calling destroyed homes—an insult to everyone who lost their home in the fires. The rubble was homes!   The city must help residents AND businesses recover. Army Corps can't clean up commercial sites, and the city needs to step up and pay for"
121	Obi is trained in narcotics detection, including fentanyl, and Draco is trained in explosives detection.
123	Alex Ovechkin is inching ever closer to NHL history, but the Capitals’ skid continued with a loss to the lottery-bound Sabres
126	Never forget
127	Katherine Kiefer, 82, was recently reunited with her cat, Aggie, two months after believing she’d lost her in the Palisades wildfire.
128	JUST IN: The Los Angeles Fire Department union is pushing back against Mayor Karen Bass’s decision to fire Fire Chief Kristin Crowley, calling it an attempt to shift blame for the city’s failed response to the deadly Palisades wildfire.
129	Newsom moves to clear flammable brush from California forests after Trump’s criticism over wildfire policies | Ryan King, New York Post  California Gov. Gavin Newsom tapped into his emergency powers Saturday to roll back environmental regulations so that the state can speed up
130	"remember ""learn to code""? ""More than a quarter of all computer programming jobs have vanished in the past two years, the worst downturn that industry has ever seen."" 1 in 4 programming jobs have vanished. What happened?"
131	PASEN QUE VA EN 3 LUGAR  [MY1PICK] theme Which idol group is highly anticipated this year? 2025-02-04 ~ 2025-02-11 Vote now on MY1PICK! https://fsn-app.my1pick.com/app/link/theme/?idx=1082…  #마이원픽 #MY1PICK #BTS #방탄소년단
133	"I have a real question... Is Karen Bass...Mayor of LA...Fucking Ret@rded... ""I didn't know the fire was coming..."" 3 Days before she flew off the Ghana...the alerts started... Santa Ana's coming in strong... I lived in Cali...stood on several roofs with hoses... You don't F'ing"
134	Yosemite Valley, California 
135	WILDFIRES: Mayor Bass Betrayed LA, Its Victims—and Trump: Just Four Permits Issued 75 Days After Wildfires Leveled 6,000+ Homes in Pacific Palisades.
136	LA Mayor Karen Bass now laughably claims that she didn't know about the potential for a severe wind/fire situation before she traveled to Ghana.  The warnings were all over the news before she left and during her trip. The day before the Palisades fire started, Bass's own X
137	California Democrats BAN schools from telling parents about their own children's gender transitions?  This is insane ideological extremism.
138	"How dare Gavin Newsom fake concern over tariffs hurting our farmers.  If Newsom wants to help farmers why doesn't he give them the water they need, cut their taxes and the stupid regulations?  Who is crushing California farmers? Not ""Trump's tariffs"" - it's you Gavin Newsom!"
140	World No.1 Sinner accepts three-month ban to end doping drama  READ: https://philstar.com/sports/2025/02/16/2421933/world-no1-sinner-accepts-three-month-ban-end-doping-drama… |  @PhilstarNews
141	Any American citizens in Los Fresnos Texas looking for a job I know someone hiring.  But make sure they don’t try to pay you under the table.
144	Man shot in leg outside Brooklyn subway station
145	"How can we help protect homes against #Wildfires? Regenerative solutions like rainwater harvesting and storage, rain gardens, select plant communities, landscaping techniques, and the right building materials suppress fire risk.

Read more: https://5thworld.com/blog/regenerative-water-solutions-help-protect-communities-from-wildfires/?utm_source=twitter&utm_medium=organic&utm_campaign=opinion&utm_content=regenerative_water_solutions_help_protect_communities_from_wildfires

#LAWildfires"
151	Team Focus Day!  We’ve grown like wildfire over the past couple of years, and with that growth, we’ve invested heavily in upgrading our systems and processes.  It’s important to us to make sure that as we scale, we stay true to and improve upon the Aqua Vita Way that brought us
152	45 ettari di superficie con 43.000 pannelli solari e più grandi di 50 campi da calcio. Tutti in fiamme. Ai residenti è stato chiesto di restare in casa e di chiudere tutte le finestre e le porte.   Nessun video, nessuna immagine. A parte questo post.  Curioso
153	California: Pacific Palisades has been completely devastated by the Palisades Fire. This footage was sent in from the individual who took it, showing the destruction that took place in his neighborhood.    The attached photo shows neighborhood after neighborhood that were
155	“How California’s refusal to comply with federal law could harm poor students who rely on school meals.”  There, I fixed it for you.
156	Deborah Duncan talks TV and motherhood https://mikemcguff.blogspot.com/2025/02/deborah-duncan-talks-tv-and-motherhood.html… #khou #khou11 #houston
157	#BREAKING: Absolutely MASSIVE NUMBERS of search and rescue teams from across Western North Carolina are now rapidly heading to Kentucky to assist in rescue efforts.  An emergency declaration has already been approved by President Trump and FEMA is on the ground.
160	On the ground today in Pacific Palisades.  @RichardGrenell ,  White House rep on the ground in California, makes things happen. Brought out EPA Chief Lee Zeldin to talk with residents, FEMA, Army Corps, LA County, Mayor, urging them to work with sense of urgency together to solve
162	Ill-conceived policies loudly promoted, then abruptly abandoned. It's a preview that shows  @PeterDutton_MP  and the LNP are profoundly unready for government. #auspol
163	Monoculture urban environments aren’t sustainable in a 1.5°C world, which we already surpassed for a complete year in 2024. Without urgent adaptation and mitigation, developments like those in Palisades, California, stand no chance against the new climate’s mega wildfires.
164	JJ Redick returned to the Palisades to see the devastation from the fires and to talk about his $50 million plan to help the rebuild - starting with the rec center near his home and sprawling across the city,  to make those communal spaces whole again. https://latimes.com/sports/lakers/story/2025-03-30/rebuilding-town-lakers-coach-jj-redick-aims-fix-palisades-recreation-center…
165	This week I was honored to present #HR8, recognizing the Lunar New Year 2025!  This is a special time of year, and it was wonderful to celebrate with our diverse  @AAPILegCaucus  and capital community!  Wishing everyone a healthy, happy and prosperous Year of the Snake. 
167	Semtech Announces Fourth Quarter of Fiscal Year 2025 Conference Call http://dlvr.it/TJDh2z
168	 Heartfelt stories from LA residents as they share their losses in the California fires. Watch this emotional video series on Instagram.  #CaliforniaFires #CommunitySupport [https://instagram.com/goodmorningamerica/reel/DE3QnunhPjQ/…] #CaliforniaTweetsFreeWith #BHiveNectar
169	Los Angeles Mayor Karen Bass removed Fire Chief Kristin Crowley, citing failures in the department’s response to the devastating Palisades wildfire.
170	Calif: Karen Bass Ousts LAFP Fire Chief in 'Scapegoat' Move After Historic L.A. Fires https://oann.com/newsroom/calif-karen-bass-ousts-lafp-fire-chief-in-scapegoat-move-after-historic-l-a-fires/… #OAN
171	Monday, March 10, 2025, 8:56 AM PDT: A storm is approaching Southern California. The weather will start changing later this afternoon at 3 PM as this cut-off low has now fixated its trajectory towards Los Angeles, California later on tonight mostly after 7 PM into Tuesday
172	Gov. Newsom signed legislation taking away local control from communities to approve or deny battery storage facilities.    Now, his appointees on the California Energy Commission get to force these projects on communities like San Juan Capistrano and Laguna Niguel.  There x.com/edring/status/…
173	Malibu Man Runs Over Officer's Foot Trying To Get Into Palisades Fire Area: PD
174	California’s colossal congressional delegation is pressing Republican and Democratic leaders in Congress for wildfire recovery aid.
175	 |  URGENTE  El incendio Palisades (área de Los Ángeles) ya ha consumido más de 11.8 kilómetros cuadrados (2,900 acres) con un 0% de contención. Vientos extremos de hasta 96 km/h impulsan su rápida propagación, sin señales de alivio antes del jueves.  Las autoridades han
176	Idk Why Ppl  Be Playing Wit Me!
177	"NEW THREAT: Second fire ""Close Fire"" erupts in N. Pasadena, rapidly expanding from 10 acres. With 70mph winds coming tonight, both Palisades & Close fires pose extreme danger."
178	Incident Updates (1/18/2025 AM)  #PalisadesFire  https://fire.ca.gov/incidents/2025/1/7/palisades-fire… * Pacific Palisades (LA County) * 23,713 acres, 43% contained  #EatonFire  https://fire.ca.gov/incidents/2025/1/7/eaton-fire… * North Pasadena and Altadena  (LA County) * 14,117 acres, 73% contained  A Fire Weather Watch is in
179	JUST OUT. All-State Medium Schools 2024. Newbury Park, Oak Hills lead way with six & four named on 1st, 2nd or 3rd teams. With QB1 spot locked to Mr. Football, Vanden's Kalani McLeod still 1st team on MP. @OakHillsFootba1  @NPPanthersONE  @McleodKalani   https://calhisports.com/2025/02/05/all-state-fb-2024-medium-schools/…
180	In partnership with the city of LA, we’re providing additional law enforcement units to keep the Palisades secure. The state is deploying  @CHP_HQ  &  @TheCalGuard  to maintain entry checkpoints—relieving  @LAPDHQ  to focus on citywide public safety.  To all those affected by the
181	Repost from KC Plants Altadena and Altadena Wild  Check out this incredible neon orange fungi, part of the Pyronema genus, popping up in Alta Dena after the wildfires! These fungi are first responders in post-wildfire ecosystems, helping to break down charred plant materials and
182	Contrary to what MAGA is screeching…  Nobody at the Hands Off! protest in Washington D.C. broke into the Capitol to smear bodily fluids on the wall.  Chicago, Minneapolis, Boston, Los Angeles, etc. are still standing because nobody burned the cities down.  Teslas weren’t set on
183	Monday, March 3, 2025, 4:30 PM PDT: The latest CPC does indicate high confidence that a long-duration wet pattern is taking shape for all of California starting on Wednesday, March 5, 2025, and building momentum through the second week of March. Especially March 10 - 14, 2025.
184	Man in California spray paints a Tesla.  The face of the vandal and the license plate of his car are easily viewable.  Do you know this man?
185	اداره جنگلداری و مقابله با آتش‌سوزی کالیفرنیا اعلام کرد دو آتش‌سوزی بزرگ ایتون و پلسیدس که در سه هفته اخیر هزاران هکتار از جنوب این ایالت را سوزاند، به طور کامل مهار شدند. در این آتش‌سوزی‌ها دست‌کم ۲۹ نفر کشته شدند و بیش از ۱۸ هزار ساختمان آسیب دید. https://iranintl.com/202502011242
186	Hey #lagalaxy fam!! My fiance is pursuing her National board teaching credential to further increase her reach of teaching children and leaders of tomorrow and would greatly appreciate any and all support to her donors choose.
188	you're joking I had to wait until ENSTARS COLLAB for something like this to happen
190	"Thank you, 
@KTLA
 for featuring our event benefitting #LAWildfires and our Women in Entertainment, Tech, and Arts Fund!"
191	I am sure  x.com/maletsemana/st…
193	I think Trump might’ve lost Dave.
194	Here’s why are Humboldt County gas prices so high? Refinery incident ‘a real impact on supplies’
195	Football: Several CU Buffs assistant coaches in new roles https://trib.al/vkYUY3N
197	[VIDEO]  2024 - 2025 INFINITE  15TH ANNIVERSARY CONCERT : '𝐋𝐈𝐌𝐈𝐓𝐄𝐃 𝐄𝐃𝐈𝐓𝐈𝐎𝐍' - 𝐄𝐍𝐂𝐎𝐑𝐄 D-5   #인피니트 #INFINITE #15TH_ANNIVERSARY_CONCERT #LIMITED_EDITION_ENCORE
198	The Valley Springs Optimist Club and The Calaveras Volunteer Center Presents 2025 Melodrama!
199	 175 Spontaneous Wildfires continue to rip through South Carolina   More absolutely terrifying destructive scenes from America
200	Well, well, well, whaddaya know: the Santa Monica Mountains Conservancy is meeting Monday night. Would be a shame if you all showed up and ruined their day.  Agenda and zoom link below  x.com/E_Barcohana/st…
201	ICYMI: Governor Gavin Newsom signed legislation putting $2.5 billion towards helping Los Angeles fight the devastating wildfires that have engulfed parts of their city.   This money will help communities, families, and more rebuild their lives and homes.
202	White House tries to soften Trump’s mass displacement proposal for Gaza
203	"Oy veh. Two hours of a dozen California nitwits dancing around the bad news.  Here's my tldr so far: Palisades homeowners aren't going to be able to do a single thing until the EPA completes their Phase 1 ""hazardous waste"" removal process. This, acc to the EPA Karen, will take"
205	The #PalisadesFire is now at 43% containment. @CALFIREBDU ,  @LACoFDPIO ,  @LAFD , and  @LAPDHQ  are in unified command.  No further fire growth occurred overnight. The blaze currently covers 23,713 acres.
206	FOR CHARITY!!! | DRAGON AGE THE VEILGUARD STREAM
207	Alex Jones blames  a black man. How unsurprising. No arsonist has been charged yet. There is no evidence an arsonist involved.
209	Only a few days left until 2025,I hope my biggest surprise this year will be selling this NFT and saving my life. And surprising many of those who despised me, And for future generations to remember my name. That's all I want  ~Gazpatcho artist
210	We're toasting to another year of partnership with Miller Lite!  We're proud to have  @MillerLite   as the official sponsor of The 2025 Cowtown Ultra Marathon this year. #RunCowtown #2025Cowtown
211	Incident Updates (1/15/2025 PM) #PalisadesFire * Pacific Palisades (LA County) * 23,713 acres, 21% contained https://fire.ca.gov/incidents/2025/1/7/palisades-fire…  #EatonFire * North Pasadena and Altadena  (LA County) * 14,117 acres, 45% contained https://fire.ca.gov/incidents/2025/1/7/eaton-fire…
213	I'm from California,  nearby, where these fires occurred.  Don't give a way out to useless, corrupt Gavin Nuisance.  There was no water to fight the fires available due to his reckless leadership. Make him and Karen Bass resign first, do proper forest management, etc, then help.
215	The only city with sanity in California. Are there any others?
216	The California Jam 1 festival took place in Ontario, California, featuring the Eagles, Black Sabbath, Deep Purple, Earth, Wind & Fire, ELP, Black Oak Arkansas and Seals & Croft. Over 200,000 fans attended, April 6, 1974.
217	Total: 9 (last updated 24/2/25) Homicide victims in London in 2025 Some victim photographs are not publicly available https://murdermap.co.uk/victims/murders-london-2025-total-how-many/…
219	"#Review: The Clearing at  @sewellbarn  Theatre, Norwich til 8 March, £12-£13 ""The fortunes of a young couple and two nations are cruelly bound together in this evocative historical drama."" https://cultivated.org.uk/reviews/2025/the-clearing/… #norfolk"
220	"[INFO] 250401  ENHYPEN's Sunghoon Donates 30 Million Won to Relief from Wildfires ""Hope Life Returns to Normal""  The Hope Bridge National Disaster Relief Association announced on April 1 that ENHYPEN's Sunghoon donated 30 million won to help with the recovery of areas hit by the"
221	See the songs that The Eyeopener masthead members listen to feel unapologetically themselves:
222	When Reagan was Governor of California… California was a red state.    How things changed and not for the better.  Now California can decide — do they want to continue on the “woke” past — or do they want to be prosperous and free again?
223	How is McKinney able to stay 20 degrees warmer than everyone around her on Sunday?
224	"https://gatewayhispanic.com/2025/02/breaking-news-trump-unleashes-the-oil-battle-reverses-bidens-ban-and-opens-625-million-acres-for-drilling/… MAGA's mantra is ""Drill Baby Drill""."
225	 Suwon Samsung  Chungnam Asan Preview: Out-of-form duo meet in Big Bird    @2_the_stadium  offers an in-depth preview of the Bluewings’ clash with Chungnam Asan.  #KLeague | #K리그 | #SSBvCAFC
226	10:22 am - planes scooping up water in the Intracoastal Waterway then off to douse the wildfire. Video via Bethany Fontana.
227	Did you know that on 1/31/47 American baseball HOF pitcher Nolan Ryan (MLB no hit leader (7), strikeout leader (5,714); World Series 1969 New York Mets; 8 x MLB All-Star; California Angels, Houston Astros, Texas Rangers), was born in Refugio, Texas. Who wants this?
228	A humiliating backdown on an ideologically driven policy that would have hurt services, ppl working from home & pushed the ACT into recession.  I'll keep fighting against public service cuts but have no confidence Coalition won't keep attacking Canberra.
229	I’ve had enough of his shit. “Oh im super bearish but I’m still gonna shill bundled trash with the LA vape cabal and promote a bundled freeross vampire scamcoin when a REAL organic one that actually gives money back to Ross exists.” That was just straight up evil. Ross is a hero,
230	"Hackaday Links: February 9, 2025: 

January 9 ended up being a very expensive day for a Culver City, California man after he pleaded guilty to recklessly operating a drone during the height of the Pacific Palisades wildfire. We covered this story a bit w…"
231	As Californians continue to wonder why they suffer disproportionately at the pump compared to other states, a new study from a prominent researcher says the state’s perpetually high gas prices are largely “self-inflicted.” Read more: https://ktla.com/news/california/policies-not-price-gouging-to-blame-for-californias-soaring-gas-prices-study-finds/…
232	Let's smoke some crack!!! BREAKING NEWS - 5 Team Trade:  To Buffalo: Pettersson To Vancouver: Cozens, Rantanen (Extended) To LA: Tuch (50% retained), Boeser (50% retained), Schenn (25% retained) To Carolina: Byfield, Tanner Jeannot To St. Louis: Buffalo 2nd, Carolina 2nd, LA 2nd.
233	"Tom Hanks and Rita Wilson donate $1m to Los Angeles wildfires relief efforts

#TomHanks #RitaWilson #LosAngeles #LAWildfires #CaliforniaWildfires #LosAngelesWildfires #Showbiz #Entertainment #BangShowbiz #BangPremier"
234	Stop. You’re disrupting the echo chamber.
235	The fact that I’ve gotten to see this man perform live will never feel real to me 
236	 The poor owners of homes destroyed in the Malibu fire, who lack real estate records, computers, printers etc will have to fill out a lengthy form to have the govt clear their lots. Some learnings:  1. You have to disclose solar panels and/or storage batteries because of
237	There is an expected destructive and potentially life-threatening windstorm starting Tuesday morning through Wednesday afternoon.  Red Flag No Parking Restrictions will go into effect in certain areas tomorrow morning.  Stay safe LA! Join 
238	Every house from chautaquea on sunset to village burned down Ralph's and gelsons gone palisades village ALL there and stayed in tact car wash gone Pali elementar gone gas stations gone all of alphabet street gone library gone #PalisadesFire
